Chapter,Family,Name,Amount,Ingredient,Notes
,,,1,highball glass,glass
,Tastes of Bourbon,Ward 8,2 oz,bourbon,
,,,1 oz,orange juice,
,,,0.5,lemon,
,,,0.5 oz,grenadine,
,,,some,ice cubes,ice
,,,5-10 sec,shake,shake
,,,1,maraschino cherries,garnish
,,,1,cocktail glass,glass
,,Kentucky Colonel,1 oz,bourbon,
,,,0.5 oz,Southern Comfort,
,,,0.5 oz,triple sec,
,,,2 oz,orange juice,
,,,0.5,lemon,
,,,0.5 oz,simple syrup,
,,,5-10 sec,shake,shake
,,,1,maraschino cherries,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
,,Bourbon Smash,12,raspberries,
,,,6,mint leaves,
,,,1,muddle,muddle
,,,2 oz,bourbon,
,,,2 oz,red cranberry juice,
,,,0.5,lime,
,,,0.5 oz,simple syrup,
,,,1 sprig,mint leaves,garnish
,,,some,crushed ice,ice
,,,1,highball glass,glass
,,Mississippi Punch,1.5 oz,bourbon,
,,,0.5 oz,brandy,
,,,3 oz,water,
,,,0.25,lemon,
,,,0.5 oz,simple syrup,
,,,5-10 sec,shake,shake
,,,1,orange slice,garnish
,,,some,ice cubes,ice
,,,1,highball glass,glass
"Daiquiris, Coladas, & Margaritas",Frozen Daiquiris,Frozen Lime Daiquiri,1.5 oz,light rum,
,,,3 oz,lime juice,
,,,0.5 oz,lime cordial,
,,,0.5 oz,simple syrup,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,lime wheel,garnish
,,,1,hurricane glass,glass
,,Frozen Strawberry Daiquiri,1,superfine sugar rim,garnish
,,,1.5 oz,light rum,
,,,4,strawberries,
,,,1 oz,lime juice,
,,,0.5 oz,lime cordial,
,,,0.5 oz,simple syrup,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,lime wheel,garnish
,,,1,hurricane glass,glass
,,Frozen Banana Daiquiri,1.5 oz,light rum,
,,,0.5,banana,
,,,1 oz,lime juice,
,,,0.5 oz,lime cordial,
,,,0.5 oz,simple syrup,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,banana slice,garnish
,,,1,hurricane glass,glass
,,Frozen Pineapple Daiquiri,1.5 oz,light rum,
,,,1,pineapple ring,
,,,1 oz,lime juice,
,,,0.5 oz,lime cordial,
,,,0.5 oz,simple syrup,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,pineapple wedge,garnish
,,,1,hurricane glass,glass
,Daiquiris on the Rocks,Raspberry Dairquiri,1,superfine sugar rim,garnish
,,,1 oz,light rum,
,,,0.5 oz,Chambord,
,,,2 oz,lime juice,
,,,1 oz,lime cordial,
,,,0.5 oz,simple syrup,
,,,5-10 sec,shake,shake
,,,3,raspberries,garnish
,,,some,crushed ice,ice
,,,1,margarita glass,glass
,,Melon Daiquiri,1 oz,light rum,
,,,0.5 oz,Midori melon liqueur,
,,,2 oz,lime juice,
,,,1 oz,lime cordial,
,,,0.5 oz,simple syrup,
,,,5-10 sec,shake,shake
,,,1,melon slice,garnish
,,,some,crushed ice,ice
,,,1,margarita glass,glass
,,Peach Daiquiri,1 oz,light rum,
,,,0.5 oz,peach schnapps,
,,,2 oz,lime juice,
,,,1 oz,lime cordial,
,,,0.5 oz,simple syrup,
,,,5-10 sec,shake,shake
,,,1,peach slice,garnish
,,,some,crushed ice,ice
,,,1,margarita glass,glass
,,Pear Daiquiri,1 oz,light rum,
,,,0.5 oz,pear liqueur,
,,,2 oz,lime juice,
,,,1 oz,lime cordial,
,,,0.5 oz,simple syrup,
,,,5-10 sec,shake,shake
,,,1,pear slice,garnish
,,,some,crushed ice,ice
,,,1,margarita glass,glass
,Frozen Coladas,Pina Colada,1.5 oz,light rum,
,,,2 oz,pineapple juice,
,,,1 oz,half & half cream,
,,,1 oz,coconut cream,
,,,1 cup,crushed ice,
,,,1,blender,blend
,,,1,pineapple flag,garnish
,,,1,hurricane glass,glass
,,Strawberry Colada,1.5 oz,light rum,
,,,2 oz,pineapple juice,
,,,4,strawberries,
,,,1 oz,half & half cream,
